#OTU ID	example1	example2	example3	example4	example5	example6
OTU_1	105	125	91	0	0	0
OTU_10	30	48	18	0	0	0
OTU_100	4	3	2	0	0	0
OTU_1000	0	0	1	0	0	0
OTU_1001	0	0	1	0	0	0
OTU_1002	0	0	1	0	0	0
OTU_1003	0	0	1	0	0	0
OTU_1004	0	0	1	0	0	0
OTU_1005	0	0	1	0	0	0
OTU_1006	0	0	1	0	0	0
OTU_1007	0	0	1	0	0	0
OTU_1008	0	0	1	0	0	0
OTU_1009	0	0	1	0	0	0
OTU_101	1	0	0	0	0	0
OTU_1010	0	0	1	0	0	0
OTU_1011	0	0	1	0	0	0
OTU_1012	0	0	1	0	0	0
OTU_1013	0	0	1	0	0	0
OTU_1014	0	0	1	0	0	0
OTU_1015	0	0	1	0	0	0
OTU_1016	0	0	2	0	0	0
OTU_1017	0	0	1	0	0	0
OTU_1018	0	0	1	0	0	0
OTU_1019	0	0	1	0	0	0
OTU_102	1	0	0	0	0	0
OTU_1020	0	0	1	0	0	0
OTU_1021	0	0	1	0	0	0
OTU_1022	0	0	1	0	0	0
OTU_1023	0	0	1	0	0	0
OTU_1024	0	0	1	0	0	0
OTU_1025	0	0	1	0	0	0
OTU_1026	0	0	1	0	0	0
OTU_1027	0	0	1	0	0	0
OTU_1028	0	0	1	0	0	0
OTU_1029	0	0	1	0	0	0
OTU_103	2	0	0	0	0	0
OTU_1030	0	0	1	0	0	0
OTU_1031	0	0	1	0	0	0
OTU_1032	0	0	1	0	0	0
OTU_1033	0	0	1	0	0	0
OTU_1034	0	0	1	0	0	0
OTU_1035	0	0	1	0	0	0
OTU_1036	0	0	1	0	0	0
OTU_1037	0	0	1	0	0	0
OTU_1038	0	0	1	0	0	0
OTU_1039	0	0	1	0	0	0
OTU_104	1	3	1	0	0	0
OTU_1040	0	0	1	0	0	0
OTU_1041	0	0	1	0	0	0
OTU_1042	0	0	1	0	0	0
OTU_1043	0	0	1	0	0	0
OTU_1044	0	0	1	0	0	0
OTU_1045	0	0	1	0	0	0
OTU_1046	0	0	1	0	0	0
OTU_1047	0	0	1	0	0	0
OTU_1048	0	0	1	0	0	0
OTU_1049	0	0	1	0	0	0
OTU_105	25	28	34	0	0	0
OTU_1050	0	0	1	0	0	0
OTU_1051	0	0	1	0	0	0
OTU_1052	0	0	1	0	0	0
OTU_1053	0	0	1	0	0	0
OTU_1054	0	0	1	0	0	0
OTU_1055	0	0	1	0	0	0
OTU_1056	0	0	1	0	0	0
OTU_1057	0	0	0	1	0	0
OTU_1058	0	0	0	1	0	0
OTU_1059	0	0	0	2	1	1
OTU_106	4	1	3	0	0	0
OTU_1060	0	0	0	1	0	0
OTU_1061	0	0	0	1	0	0
OTU_1062	0	0	0	1	0	0
OTU_1063	0	0	0	1	0	0
OTU_1064	0	0	0	1	0	0
OTU_1065	0	0	0	1	0	0
OTU_1066	0	0	0	1	0	0
OTU_1067	0	0	0	0	1	0
OTU_1068	0	0	0	0	1	0
OTU_1069	0	0	0	0	1	0
OTU_107	1	0	0	0	0	0
OTU_1070	0	0	0	0	1	0
OTU_1071	0	0	0	0	1	0
OTU_1072	0	0	0	0	0	1
OTU_1073	0	0	0	0	0	1
OTU_1074	0	0	0	0	0	1
OTU_1075	0	0	0	0	0	1
OTU_1076	0	0	0	0	0	1
OTU_1077	0	0	0	0	0	1
OTU_1078	0	0	0	0	0	1
OTU_1079	0	0	0	0	0	1
OTU_108	1	1	0	0	0	0
OTU_1080	0	0	0	0	0	1
OTU_1081	0	0	0	0	0	1
OTU_1082	0	0	0	0	0	1
OTU_109	5	2	4	0	0	0
OTU_11	10	7	9	0	0	0
OTU_110	1	0	0	0	0	0
OTU_111	1	0	0	0	0	0
OTU_112	2	0	0	0	0	0
OTU_113	5	6	5	0	0	0
OTU_114	1	2	0	0	0	0
OTU_115	1	0	0	0	0	0
OTU_116	1	0	1	0	0	0
OTU_117	1	0	0	0	0	0
OTU_118	2	1	3	0	0	0
OTU_119	1	3	1	0	0	0
OTU_12	1	0	0	0	0	0
OTU_120	1	0	0	0	0	0
OTU_121	4	1	5	0	0	0
OTU_122	3	0	1	0	0	0
OTU_123	2	3	0	0	0	0
OTU_124	1	0	0	0	0	0
OTU_125	8	2	8	0	0	0
OTU_126	1	0	0	0	0	0
OTU_127	2	1	1	0	0	0
OTU_128	6	6	1	0	0	0
OTU_129	5	4	2	0	0	0
OTU_13	22	8	4	0	0	0
OTU_130	1	0	0	0	0	0
OTU_131	1	0	0	0	0	0
OTU_132	2	0	0	0	0	0
OTU_133	1	0	1	0	0	0
OTU_134	10	11	6	0	0	0
OTU_135	1	3	3	0	0	0
OTU_136	1	0	0	0	0	0
OTU_137	2	0	1	0	0	0
OTU_138	8	3	6	0	0	0
OTU_139	2	1	1	0	0	0
OTU_14	1	0	0	0	0	0
OTU_140	3	0	1	0	0	0
OTU_141	1	0	0	0	0	0
OTU_142	1	1	0	0	0	0
OTU_143	2	1	0	0	0	0
OTU_144	3	1	0	0	0	0
OTU_145	3	4	1	0	0	0
OTU_146	1	2	1	0	0	0
OTU_147	3	1	3	0	0	0
